Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
6741EC,De Nieuwe Heuvel Bv,Veenstraat 1,Lunteren,09153721
6741HH,Henk Delen Wagenbouwtraining,Veldhuizerweg 10 a,Lunteren,09215041
6741KP,Kabeko Doors,Immenweg 12,Lunteren,08225399
6741HP,Stal Beiten,Meulunterseweg 66,Lunteren,78101441
6741HP,Stal Van De Meikade Bv,Meulunterseweg 92 -94,Lunteren,64784436
6581ED,Stal Theunissen,Rijksweg 23,Malden,70715602
4021HD,Stal Petra Van Den Berg,Tielsestraat 66,Maurik,30239874
7161RH,Pensionstal En Trainingsstal Hermelink,Kempersdijk 52,Neede,09180790
5313AP,Veehouderij H Timmer,Kerkstraat 37,Nieuwaal,30280162
3862RN,Ellens Horse Care,Bloemendaalseweg 15,Nijkerk,66246911
3862NP,Ellieshoeve,Slichtenhorsterweg 63,Nijkerk,32161232
3861MS,H Van Dasselaar 2,Keienweg 23 a,Nijkerk,68793979
3862RW,Stal De Driesprong,Nieuwe Voorthuizerweg 6,Nijkerk,08061728
3862PX,Stal Bus,Drostenweg 4,Nijkerk,67055222
3862NN,Stal Ludmillas Hoeve,Slichtenhorsterweg 27,Nijkerk,60726636
3862PZ,Stal Van Laar,Voorthuizerweg 2,Nijkerk,32079020
3864MG,Handelsstal T Van Den Brink Bv,Schoolstraat 28,Nijkerkerveen,08058734
3864MG,N Landman,Schoolstraat 20,Nijkerkerveen,32165895
8071SJ,D Van Engelen,Vreeweg 97,Nunspeet,08206198
8071SJ,Stoeterij Sterrehof Bv,Vreeweg 89,Nunspeet,08119497
8167LP,Hekking Horses,Rozenkampweg 26,Oene,73633755
4032NV,Walco Vof,Harensestraat 11,Ommeren,57518025
6862BH,Glock Hpc Nl Bv,van Borsselenweg 39,Oosterbeek,54269288
6731SC,Stal Welgelegen Otterlo,Apeldoornseweg 200 A,Otterlo,70170053
6731SC,Stoeterij Willemien,Apeldoornseweg 178,Otterlo,09153071
6611AD,C A T Kouwenberg,Rotsestraat 4,Overasselt,50857266
6611KS,Hoefsmederij Jacobs,Garstkampsestraat 6,Overasselt,10142652
6611KR,Stal Formidabel,Heegseveldweg 1,Overasselt,09112980
6911KM,Mam Bouwmanwgpm Bouwman Peek,de Berghoofdseweg 4,Pannerden,09211980
6655KB,Mts Hgam Ten Doeschate En Rahm Ten Doeschate,Kerkstraat 26,Puiflijk,56442637
3881ST,Bacon Bacon Stables Bv,Schoonhoverweg 1,Putten,08147308
3882RH,Is Sporthorses Bv,Vanenburgerallee 4 A,Putten,70321612
3882RA,Stoeterij Oldenaller,Waterweg 9,Putten,08098467
3882RA,Trainingsstal De Bouwkamp,Waterweg 35,Putten,08166345
6991JN,Stal De Kruishorst Bv,Brinkweg 3,Rheden,10038115
4152GC,De Kooihoeve Daj Storij,Tiendweg 9,Rhenoy,30271952
5328JD,Leeuwenhaag,H.C. de Jonghweg 5,Rossum,60583991
7261MX,Brennerhoeve,'t Langenbarg 3,Ruurlo,09189565
7261MX,Jurre Van Bommel Sporthorses Bv,'t Langenbarg 3,Ruurlo,65167198
7261SK,Paardenpension T Arve,Koedijk 3,Ruurlo,09221832
7039CK,Stal De Pluum,Camphuysenweg 2,Stokkum,56079125
3776LR,Borgers Huisman,Wolweg 58,Stroe,65198085
3776MG,Ck Stables Bv,Stroeërweg 37,Stroe,08143474
7395SE,Het Hoefhof,Woudweg 10 B,Teuge,69358923
3888MR,De Wildtshof,Staverhul 40,Uddel,30243942
8171LC,Stoeterij De Gathe Bv,Gatherweg 22,Vaassen,55031560
3781NN,Stal Jacobs,Hunnenweg 40 A,Voorthuizen,08195043
7251LW,Dekstation Nieuwmoed,Ruurloseweg 96,Vorden,08049805
4214KW,Pensionstal De Roosahoeve,Molenweg 3,Vuren,75831295
4214KW,Opfokstal De Roosahoeve,Molenweg 3,Vuren,75831112
