Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;PC6;Naam manege;Straat en huisnummer;Plaats;KVK nummer
2024;1566PH;1; 123.760 ;;;;;1566PH;Handels En Pensionstal Knap Bv;Veenpolderdijk 5 b;Assendelft;34174970
2024;1566PJ;1; 23.100 ;;;;;1566PJ;;;;
2024;1566PL;1; 139.000 ;;;;;1566PL;Stoeterij Pensionstal Wilmartho;Vaartdijk 4 AB;Assendelft;35020852
2024;1566PN;1; 311.200 ;;;;;1566PN;Rm Stables;Vaartdijk 27 C;Assendelft;59127945
2024;1602DR;1; 641.400 ;;;;;1602DR;;;;
2024;1606AB;1; 126.340 ;;;;;1606AB;;;;
2024;1608HH;1; 793.700 ;;;;;1608HH;Firma Stoeterij Het Centrum;Blokdijk 9 C;Wijdenes;36013638
2024;1608MA;1; 16.000 ;;;;;1608MA;;;;
2024;1611BT;1; 332.000 ;;;;;1611BT;;;;
2024;1613PG;1; 577.920 ;;;;;1613PG;Droomhoeve Bv;Geerling 14;Grootebroek;78765439
2024;1614LH;1; 23.000 ;;;;;1614LH;;;;
2024;1619JE;2; 616.800 ;;;;;1619JE;Schoon Veehandel;Dijkweg 276;Andijk;36043576
2024;1619PR;2; 275.500 ;;;;;1619PR;Anne Marie Groenveld Holding Bv;Vleetweg 28;Andijk;72209186
2024;1645VK;1; 181.480 ;;;;;1645VK;;;;
2024;1647AD;1; 87.800 ;;;;;1647AD;;;;
2024;1647CB;1; 326.380 ;;;;;1647CB;;;;
2024;1647MD;1; 180.000 ;;;;;1647MD;;;;
2024;1647MR;1; 582.580 ;;;;;1647MR;;;;
2024;1652PD;1; 95.200 ;;;;;1652PD;Jan Wijnker;Noordermeer 13;Zuidermeer;62579878
2024;1654JN;1; 105.000 ;;;;;1654JN;;;;
2024;1661BP;1; 9.980 ;;;;;1661BP;;;;
2024;1676EL;1; 267.300 ;;;;;1676EL;;;;
2024;1678HG;2; 384.100 ;;;;;1678HG;;;;
2024;1684NH;1; 161.220 ;;;;;1684NH;;;;
2024;1693HL;1; 101.120 ;;;;;1693HL;Leestensch Hof Vof;De Pijp 7;Wervershoof;8121942
2024;1695CG;1; 843.300 ;;;;;1695CG;;;;
2024;1697KH;1; 125.940 ;;;;;1697KH;;;;
2024;1702PD;1; 176.140 ;;;;;1702PD;Cv Stoeterij Haalstra;Jan Glijnisweg 52 B;Heerhugowaard;37114742
2024;1703DG;1; 40.140 ;;;;;1703DG;;;;
2024;1703RV;1; 530.120 ;;;;;1703RV;;;;
2024;1703RZ;2; 916.400 ;;;;;1703RZ;;;;
2024;1704BJ;1; 135.000 ;;;;;1704BJ;;;;
2024;1704DW;1; 263.000 ;;;;;1704DW;;;;
2024;1704NA;1; 97.300 ;;;;;1704NA;Stoeterij Baccarav;A.C. de Graafweg 6;Heerhugowaard;37135733
2024;1704PE;1; 166.926 ;;;;;1704PE;;;;
2024;1713GG;1; 513.420 ;;;;;1713GG;Dwh Dutch Warmblood Horses;Hofland 2 A;Obdam;34256736
2024;1715GH;1; 432.660 ;;;;;1715GH;Maatschap K Slagter A Slagter Leeuw;Spanbroekerweg 1;Spanbroek;37149959
2024;1718MP;1; 384.220 ;;;;;1718MP;;;;
2024;1724PT;1; 885.500 ;;;;;1724PT;Vee En Paardenhouderij Beukers Bv;Wagenweg 12;Oudkarspel;37066401
2024;1733GJ;1; 228.830 ;;;;;1733GJ;;;;
2024;1733JC;1; 287.500 ;;;;;1733JC;;;;
2024;1734JJ;1; 364.500 ;;;;;1734JJ;;;;
2024;1734MH;1; 141.280 ;;;;;1734MH;;;;
2024;1735ES;1; 133.000 ;;;;;1735ES;;;;
2024;1735EV;1; 78.000 ;;;;;1735EV;;;;
2024;1735GG;1; 256.000 ;;;;;1735GG;;;;
2024;1735JB;1; 147.000 ;;;;;1735JB;;;;
2024;1738DL;1; 952.840 ;;;;;1738DL;;;;
2024;1738DT;1; 10.322.414 ;;;;;1738DT;;;;
2024;1742NW;1; 14.280 ;;;;;1742NW;;;;
2024;1744GE;1; 188.200 ;;;;;1744GE;;;;
2024;1744GK;1; 79.600 ;;;;;1744GK;Jjd Blaauboer;Stroet 49;Sint Maarten;37161027
2024;1749AZ;1; 216.000 ;;;;;1749AZ;Broersen Stables;Diepsmeerweg 39;Warmenhuizen;58490140
2024;1749DK;1; 287.000 ;;;;;1749DK;;;;
2024;1751DD;1; 474.220 ;;;;;1751DD;;;;
2024;1753BJ;1; 96.220 ;;;;;1753BJ;;;;
2024;1755;1; 24.520 ;;;;;;;;;
2024;1759LD;1; 1.067.900 ;;;;;1759LD;;;;
2024;1761JJ;1; 15.260 ;;;;;1761JJ;;;;
2024;1764AV;1; 3.552.000 ;;;;;1764AV;;;;
2024;1767EJ;1; 248.000 ;;;;;1767EJ;;;;
2024;1768BT;1; 112.760 ;;;;;1768BT;;;;
2024;1771AD;1; 126.900 ;;;;;1771AD;;;;
2024;1775PJ;1; 498.500 ;;;;;1775PJ;;;;
2024;1789AC;1; 765.800 ;;;;;1789AC;;;;
2024;1789AJ;1; 100.000 ;;;;;1789AJ;;;;
2024;1792CH;1; 130.606 ;;;;;1792CH;;;;
2024;1797SB;1; 22.000 ;;;;;1797SB;;;;
2024;1812RB;1; 600.780 ;;;;;1812RB;;;;
2024;1815VX;1; 50.000 ;;;;;1815VX;;;;
2024;1824EX;1; 96.200 ;;;;;1824EX;;;;
2024;1840;1; 341.400 ;;;;;;;;;
2024;1842EH;1; 68.000 ;;;;;1842EH;;;;
2024;1846LE;1; 30.000 ;;;;;1846LE;;;;
2024;1847LM;1; 273.020 ;;;;;1847LM;Stoeterij Fleurstables;Laanweg 3;Zuidschermer;60666447
2024;1851BA;1; 10.015 ;;;;;1851BA;;;;
2024;1851LR;1; 123.300 ;;;;;1851LR;;;;
2024;1851PM;1; 40.000 ;;;;;1851PM;;;;
2024;1861KR;1; 30.100 ;;;;;1861KR;;;;
2024;1861PH;1; 15.000 ;;;;;1861PH;Maatschap Veldt 2;Groeneweg 2;Bergen (NH);37153841
2024;1862PV;1; 147.300 ;;;;;1862PV;;;;
2024;1871AH;1; 1.936.800 ;;;;;1871AH;;;;
2024;1902RZ;1; 475.900 ;;;;;1902RZ;;;;
2024;1911LZ;1; 43.660 ;;;;;1911LZ;;;;
2024;1911NK;1; 450.000 ;;;;;1911NK;;;;
2024;1911NL;1; 330.000 ;;;;;1911NL;;;;
2024;1921AV;1; 7.000 ;;;;;1921AV;;;;
2024;1934PC;1; 974.800 ;;;;;1934PC;;;;
2024;1934PM;2; 414.000 ;;;;;1934PM;Stal Valkering;Hoeverweg 2 A;Egmond aan den Hoef;61943746
2024;1934PN;1; 51.400 ;;;;;1934PN;;;;
2024;1935BR;1; 278.580 ;;;;;1935BR;;;;
2024;1935EZ;1; 807.280 ;;;;;1935EZ;;;;
2024;1942LD;1; 76.000 ;;;;;1942LD;;;;
2024;1944NZ;1; 178.000 ;;;;;1944NZ;;;;
2024;1944PA;1; 448.300 ;;;;;1944PA;;;;
2024;1945TT;1; 177.260 ;;;;;1945TT;;;;
2024;1964KJ;1; 760.400 ;;;;;1964KJ;;;;
2024;1968LP;1; 113.000 ;;;;;1968LP;Vof Stal De Ruyter;Noordermaatweg 8;Heemskerk;56663420
2024;1969KP;1; 37.820 ;;;;;1969KP;;;;
2024;1969ME;1; 69.000 ;;;;;1969ME;;;;
2024;1969MT;1; 81.000 ;;;;;1969MT;;;;
2024;1981LE;1; 806.200 ;;;;;1981LE;;;;
2024;1981LM;1; 145.000 ;;;;;1981LM;;;;
2024;1991JB;1; 49.000 ;;;;;1991JB;;;;
2024;2013AS;1; 208.160 ;;;;;2013AS;Stal Vosse Vof;Kinderhuissingel 2 D;Haarlem;34014378
2024;2026BJ;1; 171.600 ;;;;;2026BJ;;;;
2024;2026VL;1; 93.000 ;;;;;2026VL;;;;
2024;2031BL;1; 890.600 ;;;;;2031BL;Green Sporthorses Bv;A. Hofmanweg 40;Haarlem;76523713
2024;2033AC;1; 528.000 ;;;;;2033AC;;;;
2024;2041KM;1; 30.000 ;;;;;2041KM;;;;
2024;2041XA;1; 635.300 ;;;;;2041XA;;;;
2024;2064WJ;1; 109.400 ;;;;;2064WJ;;;;
2024;2071AN;1; 74.000 ;;;;;2071AN;;;;
2024;2071LG;2; 1.296.000 ;;;;;2071LG;;;;
2024;2105MB;1; 37.600 ;;;;;2105MB;;;;
2024;2105MG;1; 9.020 ;;;;;2105MG;;;;
2024;2114BC;1; 1.235.800 ;;;;;2114BC;Stal S Gravenweg;Vogelenzangseweg 164;Vogelenzang;69644616
2024;2116GA;1; 1.063.900 ;;;;;2116GA;;;;
2024;2131LR;1; 170.000 ;;;;;2131LR;;;;
2024;2131LV;1; 295.000 ;;;;;2131LV;Stal Starro;IJweg 951;Hoofddorp;34226196
2024;2131MT;1; 131.500 ;;;;;2131MT;;;;
2024;2136LJ;1; 226.000 ;;;;;2136LJ;;;;
2024;2136LK;1; 438.500 ;;;;;2136LK;;;;
2024;2136LR;1; 541.800 ;;;;;2136LR;;;;
2024;2141BG;1; 372.700 ;;;;;2141BG;;;;
2024;2141BH;1; 307.000 ;;;;;2141BH;;;;
2024;2141BJ;2; 340.200 ;;;;;2141BJ;;;;
2024;2141BR;2; 368.980 ;;;;;2141BR;;;;
2024;2141BS;3; 850.640 ;;;;;2141BS;;;;
2024;2141EV;1; 226.600 ;;;;;2141EV;;;;
2024;2142ES;1; 318.800 ;;;;;2142ES;Stal Cruquius;Cruquiusdijk 68 B;Cruquius;34185148
2024;2143CJ;1; 631.060 ;;;;;2143CJ;;;;
2024;2144KV;1; 1.239.600 ;;;;;2144KV;;;;
2024;2152BL;1; 345.300 ;;;;;2152BL;;;;
2024;2152NA;1; 1.360.520 ;;;;;2152NA;;;;
2024;2153KC;1; 189.100 ;;;;;2153KC;;;;
2024;2153KD;1; 101.800 ;;;;;2153KD;Western Wranglers;Rijnlanderweg 1337;Nieuw-Vennep;70228108
2024;2153KE;1; 1.767.940 ;;;;;2153KE;;;;
2024;2153KG;1; 129.200 ;;;;;2153KG;;;;
2024;2153KH;1; 177.700 ;;;;;2153KH;;;;
2024;2153LN;1; 130.000 ;;;;;2153LN;;;;
2024;2153MD;1; 817.000 ;;;;;2153MD;;;;
2024;2156MX;1; 30.100 ;;;;;2156MX;;;;
2024;2157PB;1; 141.000 ;;;;;2157PB;;;;
2024;2160;1; 342.800 ;;;;;;;;;
2024;2161AM;1; 98.900 ;;;;;2161AM;;;;
2024;2161KE;1; 146.600 ;;;;;2161KE;;;;
2024;2162KL;1; 464.800 ;;;;;2162KL;;;;
2024;2165AR;1; 1.304.000 ;;;;;2165AR;;;;
2024;2171AL;1; 33.500 ;;;;;2171AL;;;;
2024;2171BB;1; 1.055.900 ;;;;;2171BB;;;;
2024;2181HB;1; 112.800 ;;;;;2181HB;;;;
2024;2200;1; 586.400 ;;;;;;;;;
2024;2201CZ;1; 78.700 ;;;;;2201CZ;;;;
2024;2201EZ;1; 598.780 ;;;;;2201EZ;;;;
2024;2201ZG;1; 103.100 ;;;;;2201ZG;;;;
2024;2202BZ;1; 68.600 ;;;;;2202BZ;;;;
2024;2202NG;1; 270.000 ;;;;;2202NG;;;;
2024;2204AA;1; 93.700 ;;;;;2204AA;;;;
2024;2204AP;1; 589.040 ;;;;;2204AP;Stal Van Nobelen Bv;Kraaierslaan 2;Noordwijk;28073576
2024;2204AV;1; 155.100 ;;;;;2204AV;;;;
2024;2211XM;1; 820.500 ;;;;;2211XM;;;;
2024;2221BL;1; 666.200 ;;;;;2221BL;;;;
2024;2223LA;2; 757.200 ;;;;;2223LA;;;;
2024;2223LC;1; 1.099.900 ;;;;;2223LC;;;;
2024;2231NR;1; 48.480 ;;;;;2231NR;;;;
2024;2240;1; 949.820 ;;;;;;;;;
2024;2241BG;3; 1.162.300 ;;;;;2241BG;Stoeterij Van Alle Winden Bv;Oostdorperweg 214;Wassenaar;74032283
2024;2242;1; 487.160 ;;;;;;;;;
2024;2242AA;1; 621.300 ;;;;;2242AA;;;;
2024;2244BK;1; 284.200 ;;;;;2244BK;;;;
2024;2244BN;1; 1.074.720 ;;;;;2244BN;;;;
2024;2245AG;1; 167.000 ;;;;;2245AG;;;;
2024;2245BG;1; 40.400 ;;;;;2245BG;;;;
2024;2252AH;1; 274.000 ;;;;;2252AH;;;;
2024;2253JA;1; 428.100 ;;;;;2253JA;;;;
2024;2253NB;1; 258.600 ;;;;;2253NB;;;;
2024;2254AL;1; 151.800 ;;;;;2254AL;De Halve Heerlijkheid;Papelaan-West 232;Voorschoten;66344859
2024;2260;1; 1.618.600 ;;;;;;;;;
2024;2264EG;1; 65.100 ;;;;;2264EG;;;;
2024;2264TK;1; 526.000 ;;;;;2264TK;;;;
2024;2265CL;1; 284.900 ;;;;;2265CL;Ajwm Lelieveld;Veursestraatweg 288;Leidschendam;51695499
2024;2266GC;1; 272.400 ;;;;;2266GC;Raafael;Stompwijkseweg 11 A;Leidschendam;58310037
2024;2266GG;1; 116.150 ;;;;;2266GG;A Breedijk;Stompwijkseweg 48;Leidschendam;76818098
2024;2266GL;1; 48.500 ;;;;;2266GL;;;;
2024;2266GM;2; 596.360 ;;;;;2266GM;;;;
2024;2266HJ;1; 61.040 ;;;;;2266HJ;;;;
2024;2266HW;1; 1.032.000 ;;;;;2266HW;De Meerhoeve;Meer- en Geerweg 3 A;Leidschendam;71135685
2024;2286AD;1; 978.200 ;;;;;2286AD;;;;
2024;2291HM;1; 258.200 ;;;;;2291HM;;;;
2024;2300;1; 580.100 ;;;;;;;;;
2024;2310;1; 713.730 ;;;;;;;;;
2024;2317RH;1; 214.000 ;;;;;2317RH;;;;
2024;2320;1; 295.800 ;;;;;;;;;
2024;2323LC;1; 325.400 ;;;;;2323LC;;;;
2024;2323LG;1; 120.000 ;;;;;2323LG;Whl Van Der Post;Vlietweg 82;Leiden;52277089
2024;2328;1; 22.200 ;;;;;;;;;
2024;2330;1; 485.800 ;;;;;;;;;
2024;2333AL;1; 253.200 ;;;;;2333AL;;;;
2024;2342AK;1; 198.490 ;;;;;2342AK;;;;
2024;2353BZ;1; 622.000 ;;;;;2353BZ;;;;
2024;2361GC;1; 168.800 ;;;;;2361GC;;;;
2024;2370;1; 78.300 ;;;;;;;;;
2024;2374BW;2; 790.800 ;;;;;2374BW;Stal Zwetsloot;Achterwetering 8;Oud Ade;52234134
2024;2375NA;1; 874.120 ;;;;;2375NA;;;;
2024;2376AX;1; 660.800 ;;;;;2376AX;;;;
2024;2381;1; 84.400 ;;;;;;;;;
2024;2381EM;1; 187.900 ;;;;;2381EM;;;;
2024;2381EW;1; 33.988 ;;;;;2381EW;Vleesveehouderij Spronk;Laan van Oud Raadwijk 6;Zoeterwoude;27354548
2024;2381LG;1; 129.000 ;;;;;2381LG;;;;
2024;2382;1; 503.200 ;;;;;;;;;
2024;2382GZ;1; 301.000 ;;;;;2382GZ;Stal De Nieuwe Uithof;Molenpad 7 A;Zoeterwoude;67501273
2024;2390;1; 1.708.080 ;;;;;;;;;
2024;2391AG;1; 360.460 ;;;;;2391AG;Studio Citta;Voorweg 86;Hazerswoude-Dorp;28092723
2024;2391JE;1; 493.200 ;;;;;2391JE;;;;
2024;2391MS;1; 2.270.000 ;;;;;2391MS;Fa Kaptein;Burmadeweg 12;Hazerswoude-Dorp;28025353
2024;2391NS;1; 396.000 ;;;;;2391NS;;;;
2024;2394AD;2; 1.343.000 ;;;;;2394AD;;;;
2024;2401LP;1; 256.000 ;;;;;2401LP;Lone Star Western Stable;Gnephoek 42;Alphen aan den Rijn;28089985
2024;2401LT;1; 150.000 ;;;;;2401LT;;;;
2024;2402NH;1; 70.500 ;;;;;2402NH;;;;
2024;2403NA;1; 685.000 ;;;;;2403NA;;;;
2024;2407AB;1; 115.815 ;;;;;2407AB;Vof Captein;J.C. Hoogendoornlaan 37 A;Alphen aan den Rijn;27349027
2024;2407BD;1; 16.440 ;;;;;2407BD;;;;
2024;2411HZ;1; 330.000 ;;;;;2411HZ;;;;
2024;2411RD;1; 583.800 ;;;;;2411RD;;;;
2024;2411RE;1; 106.000 ;;;;;2411RE;Stal De Olijftak;Noordzijde 111;Bodegraven;28093980
2024;2411RG;1; 117.120 ;;;;;2411RG;;;;
2024;2411RT;2; 544.500 ;;;;;2411RT;Lj Hofland Beheer Bv;Zuidzijde 63;Bodegraven;28110861
2024;2411RX;1; 26.200 ;;;;;2411RX;;;;
2024;2415BG;1; 707.400 ;;;;;2415BG;Dirk Jan De Wit;De Bree 22;Nieuwerbrug aan den Rijn;70685703
2024;2421KZ;1; 161.200 ;;;;;2421KZ;Stal Oosterman;Electronweg 1;Nieuwkoop;28085971
2024;2421XW;1; 440.300 ;;;;;2421XW;;;;
