Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
4323LP,Vmf Stables Bv,Krijn Karelsweg 3 a,Ellemeet,20156919
4364SL,D Maris,Poppendamseweg 5,Grijpskerke,20150780
4371EN,Braamhof,Braamweg 12,Koudekerke,22052523
4333KN,Sale Horses Nijpjes Bv,Noordweg 516,Middelburg,76560384
4443AH,Stoeterij Dandelion,Gerbernesseweg 21 A,Nisse,55229433
4354SE,De Bokkesprong,Rijkebuurtweg 5,Vrouwenpolder,64010287
4354KK,Stoeterij Hoeve Het Tij,Lepelstraat 6,Vrouwenpolder,78238617
