Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
5725RH,Aan Dn Overkant,Meijelseweg 74,Heusden,61372218
5725RG,Elzenburg Oss Bv,Meijelseweg 73,Heusden,17131559
5725RG,Gp Stables Bv,Meijelseweg 73,Heusden,68876599
5725RL,Koo Arabians,Achtermijterbaan 5,Heusden,61326925
5725AS,Stal Van Den Hurk,Antoniusstraat 42,Heusden,68471688
5725RK,Stoeterij De Peelsprong Bv,Goudplevierweg 6,Heusden,17072781
5725RG,Vk Stables,Meijelseweg 45,Heusden,58949313
5081XR,De Gerdine Hoeve,De Geul 2,Hilvarenbeek,18034960
5081NK,Florian Stables,Veldhoven 15 A,Hilvarenbeek,76284395
5081HG,Maatschap Bruurs Akkermans,Goirlesedijk 2,Hilvarenbeek,17254920
5081NK,Stal Veldhof,Veldhoven 15,Hilvarenbeek,51943980
4741TE,Olwens Hoeve,Gors 62,Hoeven,20071755
4741TP,Stal Belvedere Bv,Bovenstraat 75 a,Hoeven,20077757
5095BD,Academy Horses Bv,Koestraat 11 b,Hooge Mierde,68764596
5095AC,Frankenhoeve,De Luther 18,Hooge Mierde,68109164
5095AC,Stal De Bruijn Scheepens,De Luther 21 a,Hooge Mierde,18090383
4927RK,Horseland Zwaluwe,Moerseweg 5,Hooge Zwaluwe,74647210
5528NN,Stal Burg Bv,Hoogcasteren 3,Hoogeloon,17071100
5528NB,Stoeterij Duyselshof Bv 2,Landrop 6,Hoogeloon,22028794
5528NN,Stoeterij Van Beek Vof,Hoogcasteren 12,Hoogeloon,76313433
5125NJ,Stal Jellema,Wierkstraat 8,Hulten,67710379
5171RB,Farmcamps De Smulhoeve,van Haestrechtstraat 15 B,Kaatsheuvel,60674547
5171RB,De Smulhoeve Holding Bv,van Haestrechtstraat 15 B,Kaatsheuvel,17227189
5171NC,In T Groen,Baan 4,Kaatsheuvel,17269090
5171PJ,Pas Sportpaarden Bv,Bernsehoef 4,Kaatsheuvel,18059762
5171NC,Stal Kemmeren,Baan 42,Kaatsheuvel,17245389
5511KS,Stal Van Dillen,Hoekdries 3,Knegsel,61276162
4756SE,Trainings En Africhtingsstal Testers,Engelseweg 1 d,Kruisland,20079445
5094BD,Ajc Smolders,Neterselsedijk 42,Lage Mierde,54484286
5094BD,Smolders Sporthorses Bv,Neterselsedijk 42,Lage Mierde,17285133
5298LP,Stal Van De Sande,Dazingstraat 1,Liempde,16081258
5298LP,Stal Van De Sande Bv,Dazingstraat 1,Liempde,63166747
5715RG,Anna Hoeve Horses Bv,Kromvenweg 18,Lierop,64966607
5737PA,Stoeterij Swinkels,'t Hof 2,Lieshout,77928482
5757RN,A Van Osch,Garst 8,Liessel,61590223
5757RP,Stal De Lagevoort,Kanaalstraat 16,Liessel,17190709
5439NH,Mw Haverkamp,Eindsestraat 10,Linden,16048208
5397LA,Van De Weerdt Ackermans Vof,Hertog Janstraat 57,Lith,51237709
5396NL,Koppelaars,Weisestraat 29,Lithoijen,17190523
5396NL,Stal Weisehoeve,Weisestraat 15,Lithoijen,74100181
5472PS,Roefs Vof,Achterdonksestraat 5,Loosbroek,17129594
5472PT,Stal Aaldering,Busselsesteeg 2,Loosbroek,17166157
5472PT,Stal De Bussel,Busselsesteeg 2,Loosbroek,53101294
6026RG,Lac Hoeve,Hugten 19,Maarheeze,77045599
5398JD,Hengstenhouderij G Toonen,Marenseweg 1,Maren-Kessel,61423238
5398HR,Nelissen Vof,Pastoor Roesweg 30,Maren-Kessel,16086684
5738RG,J Corsten Paardenhouderij Bv,Paalberg 3,Mariahout,17076603
5731PT,Demro Stables Bv,Heezerweg 7,Mierlo,12056954
5731HD,Laiz Sport Horses Bv,Sint Sebastiaanweg 14,Mierlo,77794001
5066CJ,Amm Rijnen,Oirschotseweg 64,Moergestel,17260232
5066XG,Blackstar Stables Bv,Heukelomsebaan 3,Moergestel,78561809
5066PW,Burgers Hengsten Bv,Sebrechtsedijk 2,Moergestel,68287348
5066PW,Frans Burgers Vastgoed Bv,Sebrechtsedijk 2,Moergestel,74450662
5066PW,Maatschap Mc En F Burgers,Sebrechtsedijk 2,Moergestel,17248767
5066CV,Stal Donkers,Floraweg 1,Moergestel,18059044
5124RJ,Stal Wauben,Donkstraat 25,Molenschot,72051280
5253AL,Paardenhouderij Broeren Elshout Bv,Nieuwkuijksestraat 152,Nieuwkuijk,18028573
4709PA,Mb Dressage Stables,Kerkweg 1,Nispen,20124957
4709AS,Raats Horses,Bergsebaan 112 a,Nispen,75193329
5674PG,Paardenfokkerij Gebroeders Van Rooij,Heerendonk 6,Nuenen,52301966
5674RN,Pensionstal Roijakkers,Alvershool 7,Nuenen,59014806
5409TC,Manders Selten Vof,Ontginningsweg 7,Odiliapeel,51073323
5394LP,Burgthoeve Zorgboerderij Bv,Lutterweg 13,Oijen,76862291
5688GV,Cwm Van Nunen,Oerlesedijk 2,Oirschot,17074456
5688NC,Rooth Vof,Schansstraat 16 B,Oirschot,73775711
5062JK,Manege T Halster,Sportlaan 2,Oisterwijk,76690970
5724AK,Ponnyfarm De Ombos,Deurneseweg 39,Ommel,17033276
5091SJ,Koen Leemans Equestrian Bv,Langegracht 4,Oost West en Middelbeers,59799595
5091JS,Steenhof Stables,Steenovenweg 1,Oost West en Middelbeers,17207791
4909BD,Timmermans Melis,Heistraat 17,Oosteind,20170019
5841CZ,Fok En Trainingsstal De Brughoeve,Brugstraat 3,Oploo,17203657
5841CD,Maatschap Gaw En Mtj Derks,Gemertseweg 3,Oploo,17268717
5345HR,Farmerhoeve Vof,Langendonkweg 10,Oss,68572492
5346JN,Manege Van Erp Vof,Frankenbeemdweg 39,Oss,16056989
4751VE,D Mosterdijk,Gastelsedijk Zuid 4,Oud Gastel,30255616
4751VE,Quality Stables Vof,Gastelsedijk Zuid 4,Oud Gastel,69691282
4751TE,Van Venrooij Equine Services,Opperstraat 12,Oud Gastel,58513302
4731SN,Verdonk Employe,Jan Teunisstraat 24,Oudenbosch,52953130
5357NA,Horse Et Bv,Ganzenweg 20,Overlangel,72020733
4841KR,Stream Stables,Brielsedreef 55,Prinsenbeek,70911177
5133NA,Manege Groepsaccomodatie Het Hoefke,Het Hoefke 3,Riel,17242358
5561TA,Team Collins Strijk Vof,Keersop 1,Riethoven,64372197
5447PK,Fvk Horses Goatservice,Sprongseweg 7,Rijkevoort,53792734
5449AD,Stal De Walschot,Walsert 5 A,Rijkevoort-De Walsert,66258944
4891ZB,Stal Petrideko,Pannenhoefsebaan 42,Rijsbergen,20161580
4707RL,Rockx Beheer En Beleggingen Bv,Passenberg 44,Roosendaal,64036146
4715PA,Springstal T Bergse Bos,Roosendaalsebaan 27,Rucphen,55525857
4715PE,Stal De Wit,de Schietbaan 11,Rucphen,20041236
4715EN,Stoeterij De Postbaan Bv,Goedevaart 4,Rucphen,20069184
4721PC,Mts De Laat Van Osch,Nederheide 9 A,Schijf,20168761
4721PB,Vdh Stables Bv,Plattebaan 2,Schijf,68415621
4721PC,Wilde Acker Vof,Nederheide 1 A,Schijf,62817191
5482ZT,Cam Van Den Oetelaar Bv,Dungensesteeg 9 A,Schijndel,63627396
5482ZT,Hermantico Bv,Dungensesteeg 9,Schijndel,67531954
5482ZX,Paardenhouderij Dn Bles,Houterdsedijk 27,Schijndel,17128180
5482WX,Paardenhouderij De Meulendijk,Molendijk-Noord 91 A,Schijndel,78744156
5482VX,Stal Vermulst,Het Hooghekke 7,Schijndel,56298900
5482VX,Stal Vermulst Bv,Het Hooghekke 7,Schijndel,17184266
5481XN,Stal Witte Bv,Olieëindsestraat 8,Schijndel,16043191
5482ZZ,Vof Verbakel,Houterdsedijk 12,Schijndel,17132361
5435XA,Dressuurstal Odiliahoeve,Odiliadijk 4,Sint Agatha,17244586
5845ET,Lomar Horses Bv,Boxmeerseweg 20,Sint Anthonis,75022990
5271VC,Stal Felicia,Lookertstraat 8,Sint-Michielsgestel,16039972
5271VE,Bentevree,Ruimel 7,Sint-Michielsgestel,53822463
5271VN,Equistaete Bv,Theereheide 6,Sint-Michielsgestel,74317849
5271VC,Stal Van Rooij Vof,Lookertstraat 6 A,Sint-Michielsgestel,75422255
5491VG,Romiks Hof,Hoogeind 9,Sint-Oedenrode,17158867
5491PG,Stal Quinto,Vresselse-Akkers 3 a,Sint-Oedenrode,17188523
5491TL,Hengstenhouderij Den Hoorn,Sterrebos 7,Sint-Oedenrode,17265886
5492VT,Vof Aarts Van De Loo,Hoogstraat 13,Sint-Oedenrode,52397971
5491RJ,Nadja Lommers Dressage Horses,Spierkesweg 13 a,Sint-Oedenrode,64219046
5492VT,Mj Aarts,Hoogstraat 15,Sint-Oedenrode,65410505
5712RC,De 4Hoeven,Molenbrugweg 15 a,Someren,61715344
5712RC,Hoeve De Molenhorst,Molenbrugweg 19 a,Someren,17145451
5711PV,Hoysen Court Stables Bv,Hoijserstraat 12,Someren,17094166
5712JX,Martien Raijmakers,Nederweertseweg 15,Someren,17116855
5694NP,Mjj Van Den Oever Cv,Olen 5,Son en Breugel,62968114
5691PD,Sonniushof Sport Bv,Sonniuswijk 35,Son en Breugel,50208012
4714SZ,Trainingsstal Koolwijk,Ettenseweg 23,Sprundel,74706640
